Title,Link,Date Added,Closing Date,Max Grant
AgriScale - Accelerating Agri-tech manufacturing: Experimental Development,https://apply-for-innovation-funding.service.gov.uk/competition/2427/overview/cb071e4d-3a72-4d77-9350-b2ae3d50a79f,2026-03-24 10:47,Wednesday 3 June 2026 11:00am,£3.0 million
Zero Emission Vessels and Infrastructure 2: Energy Efficiency,https://apply-for-innovation-funding.service.gov.uk/competition/2436/overview/97d03e1a-7760-4939-97b4-4f230c84a6aa,2026-03-26 10:49,Wednesday 16 September 2026 11:00am,£60.0 million
Zero Emission Vessels and Infrastructure 2: Electric Power,https://apply-for-innovation-funding.service.gov.uk/competition/2435/overview/592ea5c1-f713-4654-bb5e-d6894cd06d86,2026-03-26 10:49,Wednesday 16 September 2026 11:00am,£60.0 million
Zero Emission Vessels and Infrastructure 2: Alternative Fuels,https://apply-for-innovation-funding.service.gov.uk/competition/2434/overview/f4a8b70b-ff7f-4943-9c8a-76c212b445a8,2026-03-26 10:49,Wednesday 16 September 2026 11:00am,£60.0 million
Semiconductors and components for smart electronic platforms: applications with academic partners,https://apply-for-innovation-funding.service.gov.uk/competition/2441/overview/5ad05ad0-9f9a-47b7-8660-085608a668e0,2026-03-27 10:43,Wednesday 1 April 2026 11:00am,£2.0 million
Contracts for Innovation: ProQure - Scaling UK Quantum Computing,https://apply-for-innovation-funding.service.gov.uk/competition/2439/overview/06423ffe-b763-4cac-b83b-f80208dfe2f2,2026-03-28 10:27,Friday 29 May 2026 11:00am,£14.0 million
Future offshore wind technologies: industrial research,https://apply-for-innovation-funding.service.gov.uk/competition/2433/overview/4458acff-f0d2-4e2d-836c-c151ebd82a1d,2026-04-01 10:50,Wednesday 3 June 2026 11:00am,£1.5 million
Future offshore wind technologies: feasibility studies,https://apply-for-innovation-funding.service.gov.uk/competition/2432/overview/49f165f4-40af-4d16-8986-ba241fd2741a,2026-04-01 10:50,Wednesday 3 June 2026 11:00am,"£250,000"
Solution Development for Advanced Connectivity Technologies,https://apply-for-innovation-funding.service.gov.uk/competition/2420/overview/00926b83-c904-4919-b7d0-2be6e12269a0,2026-04-01 10:50,Wednesday 13 May 2026 11:00am,£5.0 million
CfI: Advanced Connectivity Technologies (ACT) – Call 1,https://apply-for-innovation-funding.service.gov.uk/competition/2437/overview/1123379f-9949-4cf0-acce-df748923a207,2026-04-01 10:50,Wednesday 3 June 2026 11:00am,£2.0 million
Contracts for Innovation: Enabling Commercial Quantum Networking,https://apply-for-innovation-funding.service.gov.uk/competition/2426/overview/4766704a-4888-49f8-b4f3-1e370e9ee0c5,2026-04-07 10:51,Wednesday 20 May 2026 11:00am,£3.0 million
Full ADOPT Grant: Round 7,https://apply-for-innovation-funding.service.gov.uk/competition/2442/overview/b9c07f24-e02d-4495-8351-0ed24aa9668d,2026-04-09 10:54,Wednesday 3 June 2026 11:00am,"£100,000"
DRIVE35 Scale-up Fund,https://apply-for-innovation-funding.service.gov.uk/competition/2279/overview/029bd996-9abd-42d9-8134-e2d34e3cfff5,2026-04-11 10:30,Wednesday 1 July 2026 12:00pm,£20.0 million
Battery innovation feasibility studies round 2,https://apply-for-innovation-funding.service.gov.uk/competition/2444/overview/b355177a-c85f-4cd6-b5b5-c4836d09df3e,2026-04-14 10:58,Wednesday 27 May 2026 11:00am,"£500,000"
Battery innovation concept development round 2,https://apply-for-innovation-funding.service.gov.uk/competition/2443/overview/adca814a-3966-4fbb-afbe-a2ccbd4c3bae,2026-04-14 10:58,Wednesday 27 May 2026 11:00am,£4.0 million
ADOPT Facilitator Support Grant: Round 8,https://apply-for-innovation-funding.service.gov.uk/competition/2440/overview/630d8177-1633-413b-8c56-ad3fdcc8af82,2026-04-15 10:55,Wednesday 27 May 2026 11:00am,"£2,500"
Growth Cohorts: Next generation low carbon concrete cohort entry,https://apply-for-innovation-funding.service.gov.uk/competition/2450/overview/261cbeea-5b87-4730-9fe9-4d04acc3725f,2026-04-18 10:35,Wednesday 8 July 2026 11:00am,"£50,000"
Knowledge Transfer Partnership (KTP): 2026 – 2027 Round 2,https://apply-for-innovation-funding.service.gov.uk/competition/2398/overview/318a8834-930f-4577-9069-26459a0def93,2026-04-20 11:16,Wednesday 24 June 2026 11:00am,"£8,500"
Advanced manufacturing supply chain innovation: CRD,https://apply-for-innovation-funding.service.gov.uk/competition/2453/overview/79b9483b-140e-44e9-86af-db7792c594d2,2026-04-21 11:02,Wednesday 10 June 2026 11:00am,£1.0 million
Innovate UK Venture Builder Pilot Expression of Interest,https://apply-for-innovation-funding.service.gov.uk/competition/2457/overview/343a1d9f-29cb-4184-96bc-565bcfd09462,2026-04-22 11:00,There is no submission deadline,N/A
Contracts for Innovation: Cyber scale in critical sectors,https://apply-for-innovation-funding.service.gov.uk/competition/2452/overview/df0addbf-9146-4b7f-b8b5-e78470917675,2026-04-23 11:03,Wednesday 10 June 2026 11:00am,"£300,000"
Dual-use aviation systems and autonomy,https://apply-for-innovation-funding.service.gov.uk/competition/2467/overview/3ac02a1d-68e5-460b-bddb-0ecacdabfb00,2026-04-28 11:42,Wednesday 3 June 2026 11:00am,£1.2 million
Counter UAS Technologies,https://apply-for-innovation-funding.service.gov.uk/competition/2468/overview/6be7375d-717c-49b4-9411-f7709bb9e6ea,2026-04-28 11:42,Wednesday 3 June 2026 11:00am,£1.2 million
National Materials Innovation Programme: Feasibility studies Rd 2,https://apply-for-innovation-funding.service.gov.uk/competition/2469/overview/63ad7c49-77d4-4e13-b07f-0078c28d718e,2026-04-30 11:25,Wednesday 24 June 2026 11:00am,"£100,000"
CfI: Boosting fathers’ engagement to improve child outcomes,https://apply-for-innovation-funding.service.gov.uk/competition/2458/overview/bd6562cf-e556-4860-9348-663db48bb1a8,2026-05-05 11:13,Wednesday 10 June 2026 11:00am,"£500,000"
Battery Innovation Programme: Battery skills initiatives,https://apply-for-innovation-funding.service.gov.uk/competition/2449/overview/34dd1264-cf19-4a9b-90bf-755e413085a5,2026-05-07 11:43,Thursday 18 June 2026 11:00am,£1.2 million
Defra Farming Innovation Investor Partnership,https://apply-for-innovation-funding.service.gov.uk/competition/2472/overview/8d51ea8e-212a-4a55-8e32-3237f92a86f2,2026-05-09 10:53,Wednesday 17 June 2026 11:00am,£3.0 million
Solution Development for Advanced Connectivity Technologies: applications with academic partners,https://apply-for-innovation-funding.service.gov.uk/competition/2474/overview/7dec743d-f024-43d9-8bfc-62331c987d09,2026-05-09 10:53,Wednesday 13 May 2026 11:00am,£5.0 million
Contracts for Innovation: FOAK26,https://apply-for-innovation-funding.service.gov.uk/competition/2475/overview/6fba05b0-d73b-4a33-886e-cb0950f1252a,2026-05-12 11:50,Wednesday 24 June 2026 11:00am,"£210,000"
Accelerated Knowledge Transfer Partnerships 6 (AKT 6),https://apply-for-innovation-funding.service.gov.uk/competition/2473/overview/d9a164dd-2094-4590-baa7-a057279d80a3,2026-05-16 10:59,Wednesday 15 July 2026 11:00am,"£35,000"
Commercialising Knowledge Assets Fund (CKAF) Autumn,https://apply-for-innovation-funding.service.gov.uk/competition/2478/overview/77f0cc95-dd1b-450f-a02d-e83046b464c1,2026-05-18 13:41,Tuesday 1 September 2026 11:00am,"£250,000"
CfI Improving Outcomes for Children Experiencing Homelessness,https://apply-for-innovation-funding.service.gov.uk/competition/2460/overview/d840aec6-c35d-4d86-a524-2b4c5a9bf9b3,2026-05-19 12:36,Wednesday 8 July 2026 11:00am,"£500,000"
Future offshore wind technologies: industrial research (Research Organisations),https://apply-for-innovation-funding.service.gov.uk/competition/2497/overview/1abf98e8-4873-4fb7-b9d0-e702a2c9d80a,2026-05-28 13:43,Wednesday 3 June 2026 11:00am,£1.5 million
Ofgem Strategic Innovation Fund Round 5 Discovery C6,https://apply-for-innovation-funding.service.gov.uk/competition/2480/overview/96372f42-c714-4d17-91b0-dd75b9a80e17,2026-05-28 13:43,Wednesday 24 June 2026 11:00am,"£200,000"
Ofgem Strategic Innovation Fund Discovery C6,https://apply-for-innovation-funding.service.gov.uk/competition/2484/overview/770c0946-2e24-4566-bab1-2bf1c1dd2b38,2026-05-28 13:43,Wednesday 24 June 2026 11:00am,"£200,000"
Full ADOPT Grant: Round 7 - Academic Partners,https://apply-for-innovation-funding.service.gov.uk/competition/2500/overview/d7508935-cc7f-4971-8f0f-074f80317ed4,2026-05-29 12:45,Wednesday 3 June 2026 11:00am,"£100,000"
ADOPT Facilitator Support Grant: Round 9,https://apply-for-innovation-funding.service.gov.uk/competition/2482/overview/a17ac084-56fa-4679-8d35-1f5602f27d29,2026-05-29 12:45,Wednesday 8 July 2026 11:00am,"£2,500"
"Future Leaders Fellowships: Round 11, business and non-academic",https://apply-for-innovation-funding.service.gov.uk/competition/2499/overview/60da9000-d438-47fb-92aa-e8d9435a17ab,2026-06-03 14:24,Wednesday 4 November 2026 11:00am,£3.0 million
ACTASAP Pilot Phase 1,https://apply-for-innovation-funding.service.gov.uk/competition/2502/overview/35ca10fb-d4f5-4510-9ddd-e7e3133d2b6d,2026-06-03 14:24,Tuesday 28 July 2026 11:00am,"£32,000"
Scaling Supply Chains for Quantum Enabled Sensing and PNT,https://apply-for-innovation-funding.service.gov.uk/competition/2495/overview/b2a4cd81-a226-4a11-83c8-966284542f59,2026-06-03 14:24,Wednesday 8 July 2026 11:00am,£6.0 million
